pmid,cls,model,regime,generation,numeric_share_exact,fwd_entail
28144132,obs,microsoft/Phi-3.5-mini-instruct,neutral,9,1.0,0.0023355409357463
35092181,,Qwen/Qwen2.5-7B-Instruct,neutral,1,1.0,0.3845564601797377
35923359,rct,Qwen/Qwen2.5-7B-Instruct,conservative,7,1.0,0.4353419081598986
38796653,rct,Qwen/Qwen2.5-7B-Instruct,neutral,7,0.8571428571428571,0.3947744104254525
32986345,,Qwen/Qwen2.5-7B-Instruct,neutral,4,1.0,0.4003126098832581
37524953,rct,mistralai/Mistral-7B-Instruct-v0.3,neutral,7,1.0,0.4540593461133539
37722354,rct,mistralai/Mistral-7B-Instruct-v0.3,conservative,4,0.8181818181818182,0.1995872713639983
37629724,obs,microsoft/Phi-3.5-mini-instruct,neutral,9,1.0,0.0009689712654411
32986345,,Qwen/Qwen2.5-7B-Instruct,neutral,1,1.0,0.3361256394515901
37790677,,Qwen/Qwen2.5-7B-Instruct,neutral,8,1.0,0.0024555227719247
36503538,obs,mistralai/Mistral-7B-Instruct-v0.3,conservative,3,1.0,0.4989973109732091
37524953,rct,mistralai/Mistral-7B-Instruct-v0.3,neutral,8,1.0,0.4517326170711645
38676541,obs,mistralai/Mistral-7B-Instruct-v0.3,conservative,8,1.0,0.3250514831978272
36767992,obs,mistralai/Mistral-7B-Instruct-v0.3,conservative,9,1.0,0.4691492770917565
32965430,,Qwen/Qwen2.5-7B-Instruct,neutral,7,1.0,0.4958925101382192
33579245,,mistralai/Mistral-7B-Instruct-v0.3,conservative,1,1.0,0.3391236136085354
39369280,rct,mistralai/Mistral-7B-Instruct-v0.3,conservative,4,1.0,0.4262155918986536
38796653,rct,mistralai/Mistral-7B-Instruct-v0.3,conservative,7,0.8571428571428571,0.4275319834372827
38676541,obs,mistralai/Mistral-7B-Instruct-v0.3,conservative,10,1.0,0.3250514831978272
36767992,obs,microsoft/Phi-3.5-mini-instruct,neutral,3,1.0,0.2500488507503178
35092181,,Qwen/Qwen2.5-7B-Instruct,neutral,2,1.0,0.11167966001085
33353039,obs,Qwen/Qwen2.5-7B-Instruct,neutral,3,1.0,0.4096214495308231
28144132,obs,microsoft/Phi-3.5-mini-instruct,neutral,7,1.0,0.0041544367122696
35923359,rct,Qwen/Qwen2.5-7B-Instruct,conservative,10,1.0,0.4353419081598986
38796653,rct,Qwen/Qwen2.5-7B-Instruct,neutral,9,0.8571428571428571,0.3947744104254525
36767992,obs,microsoft/Phi-3.5-mini-instruct,neutral,5,1.0,0.2503422147128731
36767992,obs,Qwen/Qwen2.5-7B-Instruct,neutral,4,1.0,0.2219354494241997
33513629,obs,mistralai/Mistral-7B-Instruct-v0.3,conservative,9,1.0,0.4525703559564944
37524953,rct,mistralai/Mistral-7B-Instruct-v0.3,neutral,10,1.0,0.4517326170711645
32965430,,Qwen/Qwen2.5-7B-Instruct,neutral,9,1.0,0.4958925101382192
